camels,cats,K7
camels,chimpanzees,I3
camels,cows,P8
camels,dogs,W8
camels,donkeys,B6
camels,foxes,C4
camels,giraffes,A6
camels,goats,Y5
camels,gorillas,P9
camels,horses,B8
camels,lions,N6
camels,mice,H6
camels,pigs,P4
camels,rabbits,H5
camels,rats,N0
camels,sheep,K3
camels,tigers,R4
camels,wolves,J6
camels,zebras,L1
cats,chimpanzees,W5
cats,cows,O9
cats,dogs,B9
cats,donkeys,Y9
cats,foxes,K5
cats,giraffes,Z5
cats,goats,V2
cats,gorillas,O4
cats,horses,W0
cats,lions,D9
cats,mice,N2
cats,pigs,I0
cats,rabbits,P0
cats,rats,M0
cats,sheep,Z3
cats,tigers,F2
cats,wolves,A0
cats,zebras,M4
chimpanzees,cows,L9
chimpanzees,dogs,F3
chimpanzees,donkeys,J9
chimpanzees,foxes,I5
chimpanzees,giraffes,D8
chimpanzees,goats,I9
chimpanzees,gorillas,Q0
chimpanzees,horses,U2
chimpanzees,lions,B4
chimpanzees,mice,L7
chimpanzees,pigs,R0
chimpanzees,rabbits,N3
chimpanzees,rats,U8
chimpanzees,sheep,C9
chimpanzees,tigers,Q8
chimpanzees,wolves,U0
chimpanzees,zebras,G1
cows,dogs,T5
cows,donkeys,V9
cows,foxes,E4
cows,giraffes,U1
cows,goats,U3
cows,gorillas,J7
cows,horses,T8
cows,lions,X8
cows,mice,P5
cows,pigs,X3
cows,rabbits,N1
cows,rats,N4
cows,sheep,O7
cows,tigers,F8
cows,wolves,G2
cows,zebras,F6
dogs,donkeys,E6
dogs,foxes,F4
dogs,giraffes,V3
dogs,goats,L3
dogs,gorillas,Z0
dogs,horses,V6
dogs,lions,W6
dogs,mice,J1
dogs,pigs,L8
dogs,rabbits,D5
dogs,rats,B7
dogs,sheep,H0
dogs,tigers,Q6
dogs,wolves,W1
dogs,zebras,T6
donkeys,foxes,S0
donkeys,giraffes,U5
donkeys,goats,I7
donkeys,gorillas,C2
donkeys,horses,W2
donkeys,lions,Z1
donkeys,mice,I4
donkeys,pigs,O1
donkeys,rabbits,E2
donkeys,rats,G0
donkeys,sheep,S9
donkeys,tigers,M7
donkeys,wolves,G5
donkeys,zebras,P6
foxes,giraffes,Y3
foxes,goats,R1
foxes,gorillas,O3
foxes,horses,S6
foxes,lions,H3
foxes,mice,C6
foxes,pigs,O6
foxes,rabbits,B2
foxes,rats,Y2
foxes,sheep,L2
foxes,tigers,M9
foxes,wolves,O8
foxes,zebras,V4
giraffes,goats,N5
giraffes,gorillas,A1
giraffes,horses,W3
giraffes,lions,U7
giraffes,mice,L5
giraffes,pigs,U4
giraffes,rabbits,R8
giraffes,rats,C5
giraffes,sheep,V1
giraffes,tigers,K4
giraffes,wolves,D1
giraffes,zebras,R9
goats,gorillas,J5
goats,horses,Q4
goats,lions,X4
goats,mice,I2
goats,pigs,T7
goats,rabbits,G4
goats,rats,R7
goats,sheep,X1
goats,tigers,X9
goats,wolves,O0
goats,zebras,D0
gorillas,horses,N9
gorillas,lions,Z7
gorillas,mice,E0
gorillas,pigs,E7
gorillas,rabbits,W4
gorillas,rats,S1
gorillas,sheep,S2
gorillas,tigers,M8
gorillas,wolves,X7
gorillas,zebras,I8
horses,lions,H7
horses,mice,S8
horses,pigs,K1
horses,rabbits,X6
horses,rats,Q5
horses,sheep,F1
horses,tigers,G8
horses,wolves,M3
horses,zebras,T2
lions,mice,H4
lions,pigs,I1
lions,rabbits,P3
lions,rats,X2
lions,sheep,M2
lions,tigers,G7
lions,wolves,E3
lions,zebras,T4
mice,pigs,V5
mice,rabbits,J0
mice,rats,V7
mice,sheep,G3
mice,tigers,M6
mice,wolves,T3
mice,zebras,Y0
pigs,rabbits,R2
pigs,rats,S5
pigs,sheep,D2
pigs,tigers,Q3
pigs,wolves,Q1
pigs,zebras,Z6
rabbits,rats,J2
rabbits,sheep,D7
rabbits,tigers,B3
rabbits,wolves,A5
rabbits,zebras,A9
rats,sheep,Y1
rats,tigers,D6
rats,wolves,Z2
rats,zebras,Q9
sheep,tigers,J3
sheep,wolves,C1
sheep,zebras,E8
tigers,wolves,B5
tigers,zebras,D3
wolves,zebras,V8
cats,camels,K7
chimpanzees,camels,I3
cows,camels,P8
dogs,camels,W8
donkeys,camels,B6
foxes,camels,C4
giraffes,camels,A6
goats,camels,Y5
gorillas,camels,P9
horses,camels,B8
lions,camels,N6
mice,camels,H6
pigs,camels,P4
rabbits,camels,H5
rats,camels,N0
sheep,camels,K3
tigers,camels,R4
wolves,camels,J6
zebras,camels,L1
chimpanzees,cats,W5
cows,cats,O9
dogs,cats,B9
donkeys,cats,Y9
foxes,cats,K5
giraffes,cats,Z5
goats,cats,V2
gorillas,cats,O4
horses,cats,W0
lions,cats,D9
mice,cats,N2
pigs,cats,I0
rabbits,cats,P0
rats,cats,M0
sheep,cats,Z3
tigers,cats,F2
wolves,cats,A0
zebras,cats,M4
cows,chimpanzees,L9
dogs,chimpanzees,F3
donkeys,chimpanzees,J9
foxes,chimpanzees,I5
giraffes,chimpanzees,D8
goats,chimpanzees,I9
gorillas,chimpanzees,Q0
horses,chimpanzees,U2
lions,chimpanzees,B4
mice,chimpanzees,L7
pigs,chimpanzees,R0
rabbits,chimpanzees,N3
rats,chimpanzees,U8
sheep,chimpanzees,C9
tigers,chimpanzees,Q8
wolves,chimpanzees,U0
zebras,chimpanzees,G1
dogs,cows,T5
donkeys,cows,V9
foxes,cows,E4
giraffes,cows,U1
goats,cows,U3
gorillas,cows,J7
horses,cows,T8
lions,cows,X8
mice,cows,P5
pigs,cows,X3
rabbits,cows,N1
rats,cows,N4
sheep,cows,O7
tigers,cows,F8
wolves,cows,G2
zebras,cows,F6
donkeys,dogs,E6
foxes,dogs,F4
giraffes,dogs,V3
goats,dogs,L3
gorillas,dogs,Z0
horses,dogs,V6
lions,dogs,W6
mice,dogs,J1
pigs,dogs,L8
rabbits,dogs,D5
rats,dogs,B7
sheep,dogs,H0
tigers,dogs,Q6
wolves,dogs,W1
zebras,dogs,T6
foxes,donkeys,S0
giraffes,donkeys,U5
goats,donkeys,I7
gorillas,donkeys,C2
horses,donkeys,W2
lions,donkeys,Z1
mice,donkeys,I4
pigs,donkeys,O1
rabbits,donkeys,E2
rats,donkeys,G0
sheep,donkeys,S9
tigers,donkeys,M7
wolves,donkeys,G5
zebras,donkeys,P6
giraffes,foxes,Y3
goats,foxes,R1
gorillas,foxes,O3
horses,foxes,S6
lions,foxes,H3
mice,foxes,C6
pigs,foxes,O6
rabbits,foxes,B2
rats,foxes,Y2
sheep,foxes,L2
tigers,foxes,M9
wolves,foxes,O8
zebras,foxes,V4
goats,giraffes,N5
gorillas,giraffes,A1
horses,giraffes,W3
lions,giraffes,U7
mice,giraffes,L5
pigs,giraffes,U4
rabbits,giraffes,R8
rats,giraffes,C5
sheep,giraffes,V1
tigers,giraffes,K4
wolves,giraffes,D1
zebras,giraffes,R9
gorillas,goats,J5
horses,goats,Q4
lions,goats,X4
mice,goats,I2
pigs,goats,T7
rabbits,goats,G4
rats,goats,R7
sheep,goats,X1
tigers,goats,X9
wolves,goats,O0
zebras,goats,D0
horses,gorillas,N9
lions,gorillas,Z7
mice,gorillas,E0
pigs,gorillas,E7
rabbits,gorillas,W4
rats,gorillas,S1
sheep,gorillas,S2
tigers,gorillas,M8
wolves,gorillas,X7
zebras,gorillas,I8
lions,horses,H7
mice,horses,S8
pigs,horses,K1
rabbits,horses,X6
rats,horses,Q5
sheep,horses,F1
tigers,horses,G8
wolves,horses,M3
zebras,horses,T2
mice,lions,H4
pigs,lions,I1
rabbits,lions,P3
rats,lions,X2
sheep,lions,M2
tigers,lions,G7
wolves,lions,E3
zebras,lions,T4
pigs,mice,V5
rabbits,mice,J0
rats,mice,V7
sheep,mice,G3
tigers,mice,M6
wolves,mice,T3
zebras,mice,Y0
rabbits,pigs,R2
rats,pigs,S5
sheep,pigs,D2
tigers,pigs,Q3
wolves,pigs,Q1
zebras,pigs,Z6
rats,rabbits,J2
sheep,rabbits,D7
tigers,rabbits,B3
wolves,rabbits,A5
zebras,rabbits,A9
sheep,rats,Y1
tigers,rats,D6
wolves,rats,Z2
zebras,rats,Q9
tigers,sheep,J3
wolves,sheep,C1
zebras,sheep,E8
wolves,tigers,B5
zebras,tigers,D3
zebras,wolves,V8
